Epsilon1,Epsilon2,MinPoints
400,30,20
1000,40,15
2000,59,10
2000,65,9
1500,71,8
800,25,10
1200,40,7
1400,50,7
1000,60,6
800,90,4
800,25,10
1000,35,8
1400,50,7
1000,60,6
1000,70,6
800,90,4
1200,25,10
1400,35,8
1400,50,6
1200,60,6
1000,70,6
1400,30,11
1600,35,8
1600,50,7
1200,60,6
1000,70,6
1000,90,4
800,20,8
800,35,8
1500,50,7
1000,65,7
800,75,6
800,35,8
1500,50,7
2000,60,7
1000,65,7
800,65,6
800,140,5
800,20,8
800,35,8
1500,50,7
1000,65,7
1000,65,6
1000,140,5
800,35,8
1500,50,7
800,65,7
800,65,6
800,140,5
800,20,8
800,35,8
800,50,7
1500,60,7
800,65,7
800,65,6
800,35,8
1500,50,7
1500,60,7
800,65,7
800,65,6
800,140,5
