HaftaSayisi,VeriPaketiSayisi,VeriGondermeSikligi,Epsilon1,Epsilon2,MinPoints
4,5558,5,400,30,20
4,2894,10,1000,40,15
4,1969,15,1500,45,11
4,1693,20,2000,59,10
4,1407,25,2000,65,9
4,1193,30,1500,71,8
4,635,60,800,140,4
3,4164,5,800,25,10
3,2168,10,1000,35,8
3,1473,15,1200,40,7
3,1257,20,1400,50,7
3,1048,25,1000,60,6
3,892,30,1000,70,6
3,476,60,800,90,4
3,4205,5,800,25,10
3,2184,10,1000,35,8
3,1484,15,1200,40,7
3,1266,20,1400,50,7
3,1056,25,1000,60,6
3,901,30,1000,70,6
3,476,60,800,90,4
3,4113,5,1200,25,10
3,2156,10,1400,35,8
3,1465,15,1400,45,6
3,1292,20,1400,50,6
3,1066,25,1200,60,6
3,889,30,1000,70,6
3,477,60,1000,90,4
3,4192,5,1400,30,11
3,2174,10,1600,35,8
3,1485,15,1600,45,7
3,1264,20,1600,50,7
3,1051,25,1200,60,6
3,897,30,1000,70,6
3,476,60,1000,90,4
2,2811,5,800,20,8
2,1458,10,800,35,8
2,988,15,1500,50,7
2,830,20,2000,60,7
2,700,25,1000,65,7
2,605,30,800,75,6
2,317,60,800,140,5
2,2719,5,800,20,8
2,1430,10,800,35,8
2,969,15,1500,50,7
2,856,20,2000,60,7
2,707,25,1000,65,7
2,588,30,800,65,6
2,318,60,800,140,5
2,2760,5,800,20,8
2,1446,10,800,35,8
2,980,15,1500,50,7
2,865,20,2000,60,7
2,715,25,1000,65,7
2,597,30,1000,65,6
2,318,60,1000,140,5
2,2747,5,800,20,8
2,1436,10,800,35,8
2,981,15,1500,50,7
2,863,20,2000,60,7
2,710,25,800,65,7
2,593,30,800,65,6
2,318,60,800,140,5
2,2839,5,800,20,8
2,1464,10,800,35,8
2,1000,15,800,50,7
2,837,20,1500,60,7
2,700,25,800,65,7
2,605,30,800,65,6
2,317,60,800,140,5
2,2798,5,800,20,8
2,1448,10,800,35,8
2,989,15,1500,50,7
2,828,20,1500,60,7
2,692,25,800,65,7
2,596,30,800,65,6
2,317,60,800,140,5
