HaftaSayisi,VeriPaketiSayisi,VeriGondermeSikligi
4,5558,5
4,2894,10
4,1693,20
4,1407,25
4,1193,30
3,4164,5
3,1473,15
3,1257,20
3,1048,25
3,476,60
3,4205,5
3,2184,10
3,1266,20
3,1056,25
3,901,30
3,476,60
3,4113,5
3,2156,10
3,1292,20
3,1066,25
3,889,30
3,4192,5
3,2174,10
3,1264,20
3,1051,25
3,897,30
3,476,60
2,2811,5
2,1458,10
2,988,15
2,700,25
2,605,30
2,1430,10
2,969,15
2,856,20
2,707,25
2,588,30
2,318,60
2,2760,5
2,1446,10
2,980,15
2,715,25
2,597,30
2,318,60
2,1436,10
2,981,15
2,710,25
2,593,30
2,318,60
2,2839,5
2,1464,10
2,1000,15
2,837,20
2,700,25
2,605,30
2,1448,10
2,989,15
2,828,20
2,692,25
2,596,30
2,317,60
